preset_id,word_id
0ea81186-374c-4a4d-8d47-51ced2403a29,3345
0ea81186-374c-4a4d-8d47-51ced2403a29,3454
0ea81186-374c-4a4d-8d47-51ced2403a29,3456
0ea81186-374c-4a4d-8d47-51ced2403a29,3459
0ea81186-374c-4a4d-8d47-51ced2403a29,3474
0ea81186-374c-4a4d-8d47-51ced2403a29,3530
0ea81186-374c-4a4d-8d47-51ced2403a29,3536
0ea81186-374c-4a4d-8d47-51ced2403a29,3560
0ea81186-374c-4a4d-8d47-51ced2403a29,3554
0ea81186-374c-4a4d-8d47-51ced2403a29,3795
0ea81186-374c-4a4d-8d47-51ced2403a29,3805
0ea81186-374c-4a4d-8d47-51ced2403a29,149372
0ea81186-374c-4a4d-8d47-51ced2403a29,3839
0ea81186-374c-4a4d-8d47-51ced2403a29,3858
0ea81186-374c-4a4d-8d47-51ced2403a29,3990
0ea81186-374c-4a4d-8d47-51ced2403a29,4006
0ea81186-374c-4a4d-8d47-51ced2403a29,4011
0ea81186-374c-4a4d-8d47-51ced2403a29,4046
0ea81186-374c-4a4d-8d47-51ced2403a29,4063
0ea81186-374c-4a4d-8d47-51ced2403a29,4074
0ea81186-374c-4a4d-8d47-51ced2403a29,4135
0ea81186-374c-4a4d-8d47-51ced2403a29,4149
0ea81186-374c-4a4d-8d47-51ced2403a29,4153
0ea81186-374c-4a4d-8d47-51ced2403a29,4155
0ea81186-374c-4a4d-8d47-51ced2403a29,4178
0ea81186-374c-4a4d-8d47-51ced2403a29,4173
0ea81186-374c-4a4d-8d47-51ced2403a29,4184
0ea81186-374c-4a4d-8d47-51ced2403a29,4197
0ea81186-374c-4a4d-8d47-51ced2403a29,4204
0ea81186-374c-4a4d-8d47-51ced2403a29,4264
0ea81186-374c-4a4d-8d47-51ced2403a29,4301
0ea81186-374c-4a4d-8d47-51ced2403a29,4317
0ea81186-374c-4a4d-8d47-51ced2403a29,4345
0ea81186-374c-4a4d-8d47-51ced2403a29,4352
0ea81186-374c-4a4d-8d47-51ced2403a29,334650
0ea81186-374c-4a4d-8d47-51ced2403a29,4560
0ea81186-374c-4a4d-8d47-51ced2403a29,4564
0ea81186-374c-4a4d-8d47-51ced2403a29,4562
0ea81186-374c-4a4d-8d47-51ced2403a29,4592
0ea81186-374c-4a4d-8d47-51ced2403a29,4607
0ea81186-374c-4a4d-8d47-51ced2403a29,4626
0ea81186-374c-4a4d-8d47-51ced2403a29,4611
0ea81186-374c-4a4d-8d47-51ced2403a29,4647
0ea81186-374c-4a4d-8d47-51ced2403a29,4649
0ea81186-374c-4a4d-8d47-51ced2403a29,4655
0ea81186-374c-4a4d-8d47-51ced2403a29,4719
0ea81186-374c-4a4d-8d47-51ced2403a29,5196
0ea81186-374c-4a4d-8d47-51ced2403a29,5198
0ea81186-374c-4a4d-8d47-51ced2403a29,12587
0ea81186-374c-4a4d-8d47-51ced2403a29,5296
0ea81186-374c-4a4d-8d47-51ced2403a29,5303
0ea81186-374c-4a4d-8d47-51ced2403a29,5312
0ea81186-374c-4a4d-8d47-51ced2403a29,5322
0ea81186-374c-4a4d-8d47-51ced2403a29,5315
0ea81186-374c-4a4d-8d47-51ced2403a29,5369
0ea81186-374c-4a4d-8d47-51ced2403a29,5386
0ea81186-374c-4a4d-8d47-51ced2403a29,5390
0ea81186-374c-4a4d-8d47-51ced2403a29,5428
